gene.names	cluster
ENSMUSG00000033364	Usp37	1
ENSMUSG00000034557	Zfyve9	1
ENSMUSG00000060450	Rnf14	1
ENSMUSG00000102049	NA	1
ENSMUSG00000041037	Irgq	1
ENSMUSG00000032252	Glce	1
ENSMUSG00000021703	Serinc5	1
ENSMUSG00000038102	Trappc11	1
ENSMUSG00000021712	Trim23	1
ENSMUSG00000033054	Npat	1
ENSMUSG00000015659	Serac1	1
ENSMUSG00000018160	Med1	1
ENSMUSG00000024241	Sos1	1
ENSMUSG00000025656	Arhgef9	1
ENSMUSG00000037386	Rims2	1
ENSMUSG00000061778	Mospd2	1
ENSMUSG00000001280	Sp1	1
ENSMUSG00000026640	Plxna2	1
ENSMUSG00000045205	Dpy19l4	1
ENSMUSG00000113506	Gm49377	1
ENSMUSG00000027184	Caprin1	1
ENSMUSG00000029104	Htt	1
ENSMUSG00000020687	Cdc27	1
ENSMUSG00000024462	Gabbr1	1
ENSMUSG00000002489	Tiam1	1
ENSMUSG00000060924	Csmd1	1
ENSMUSG00000020721	Helz	1
ENSMUSG00000054942	Miga1	1
ENSMUSG00000028212	Ccne2	1
ENSMUSG00000070304	Scn2b	1
ENSMUSG00000032718	Mansc1	1
ENSMUSG00000045896	Paip2b	1
ENSMUSG00000038143	Stox2	1
ENSMUSG00000055980	Irs1	1
ENSMUSG00000041236	Vps41	1
ENSMUSG00000059486	Kbtbd2	1
ENSMUSG00000028020	Glrb	1
ENSMUSG00000044465	Fhip1b	1
ENSMUSG00000015829	Tnr	1
ENSMUSG00000030275	Etnk1	1
ENSMUSG00000026361	Cdc73	1
ENSMUSG00000005610	Eif4g2	1
ENSMUSG00000000804	Usp32	1
ENSMUSG00000035849	Krt222	1
ENSMUSG00000038095	Sbno1	1
ENSMUSG00000034780	B3galt1	1
ENSMUSG00000021096	Ppm1a	1
ENSMUSG00000102411	Gm36936	1
ENSMUSG00000047412	Zbtb44	1
ENSMUSG00000103189	Gm37092	1
ENSMUSG00000040407	Akap9	1
ENSMUSG00000031189	Aff2	1
ENSMUSG00000019302	Atp6v0a1	1
ENSMUSG00000020978	Klhdc2	1
ENSMUSG00000022263	Trio	1
ENSMUSG00000026721	Rabgap1l	1
ENSMUSG00000049100	Pcdh10	1
ENSMUSG00000040785	Ttc3	1
ENSMUSG00000020189	Osbpl8	1
ENSMUSG00000040225	Prrc2c	1
ENSMUSG00000025607	Copg2	1
ENSMUSG00000037458	Azin1	1
ENSMUSG00000037720	Tmem33	1
ENSMUSG00000039789	Zfp597	1
ENSMUSG00000028034	Fubp1	1
ENSMUSG00000033499	Larp4b	1
ENSMUSG00000107505	Stambp-ps1	1
ENSMUSG00000032328	Tmem30a	1
ENSMUSG00000049516	Spty2d1	1
ENSMUSG00000079481	Nhsl2	1
ENSMUSG00000116641	Gm41505	1
ENSMUSG00000034297	Med13	1
ENSMUSG00000066643	Wdr35	1
ENSMUSG00000006711	D130043K22Rik	1
ENSMUSG00000048330	Ric3	1
ENSMUSG00000026587	Astn1	1
ENSMUSG00000037259	Dzank1	1
ENSMUSG00000005267	Zfp287	1
ENSMUSG00000069495	Epc2	1
ENSMUSG00000003974	Grm3	1
ENSMUSG00000040455	Usp45	1
ENSMUSG00000041297	Cdk13	1
ENSMUSG00000034926	Dhcr24	1
ENSMUSG00000037416	Dmxl1	1
ENSMUSG00000021395	Spin1	1
ENSMUSG00000031242	Chmp1b2	1
ENSMUSG00000026384	Ptpn4	1
ENSMUSG00000058793	Cds2	1
ENSMUSG00000042350	Arel1	1
ENSMUSG00000029238	Clock	1
ENSMUSG00000103897	Pcdhga8	1
ENSMUSG00000064437	Snord49b	1
ENSMUSG00000055943	Emc7	1
ENSMUSG00000030213	Atf7ip	1
ENSMUSG00000025261	Huwe1	1
ENSMUSG00000062184	Hs6st2	1
ENSMUSG00000031196	F8	1
ENSMUSG00000026490	Cdc42bpa	1
ENSMUSG00000046096	Mosmo	1
ENSMUSG00000074909	Ranbp6	1
ENSMUSG00000036760	Kcnk9	1
ENSMUSG00000042507	Mideas	1
ENSMUSG00000038807	Rap1gap2	1
ENSMUSG00000030306	Tmtc1	1
ENSMUSG00000031026	Trim66	1
ENSMUSG00000036192	Rorb	1
ENSMUSG00000025262	Fam120c	1
ENSMUSG00000025217	Btrc	1
ENSMUSG00000018412	Kansl1	1
ENSMUSG00000018846	Pank3	1
ENSMUSG00000014592	Camta1	1
ENSMUSG00000031865	Dctn1	1
ENSMUSG00000024597	Slc12a2	1
ENSMUSG00000048304	Slitrk3	1
ENSMUSG00000055782	Abcd2	1
ENSMUSG00000001151	Pcnt	1
ENSMUSG00000004591	Pkn2	1
ENSMUSG00000042744	Hectd4	1
ENSMUSG00000040648	Ppip5k2	1
ENSMUSG00000000826	Dnajc5	1
ENSMUSG00000038128	Camk4	1
ENSMUSG00000041444	Arhgap32	1
ENSMUSG00000022604	Cep97	1
ENSMUSG00000040929	Rfx3	1
ENSMUSG00000102931	Gm38114	1
ENSMUSG00000026600	Soat1	1
ENSMUSG00000030451	Herc2	1
ENSMUSG00000022024	Sugt1	1
ENSMUSG00000038174	Hycc2	1
ENSMUSG00000061578	Ksr2	1
ENSMUSG00000027834	Serpini1	1
ENSMUSG00000036437	Npy1r	1
ENSMUSG00000024924	Vldlr	1
ENSMUSG00000039202	Abhd2	1
ENSMUSG00000041710	Trpc5	1
ENSMUSG00000043313	Pcdhb19	1
ENSMUSG00000078515	Ddi2	1
ENSMUSG00000075470	Alg10b	1
ENSMUSG00000044647	Csrnp3	1
ENSMUSG00000021699	Pde4d	1
ENSMUSG00000035666	Gtf3c4	1
ENSMUSG00000032998	Foxj3	1
ENSMUSG00000021140	Pcnx	1
ENSMUSG00000041997	Tlk1	1
ENSMUSG00000031309	Rps6ka3	1
ENSMUSG00000034163	Zfc3h1	1
ENSMUSG00000022262	Dnah5	1
ENSMUSG00000052539	Magi3	1
ENSMUSG00000040697	Dnajc16	1
ENSMUSG00000006134	Crkl	1
ENSMUSG00000031703	Itfg1	1
ENSMUSG00000046324	Ermp1	1
ENSMUSG00000024576	Csnk1a1	1
ENSMUSG00000050215	Or13e8	1
ENSMUSG00000020628	Trappc12	1
ENSMUSG00000004110	Cacna1e	1
ENSMUSG00000064105	Cnnm2	1
ENSMUSG00000037652	Phc3	1
ENSMUSG00000041417	Pik3r1	1
ENSMUSG00000070709	Zfp974	1
ENSMUSG00000003119	Cdk12	1
ENSMUSG00000040321	Zfp770	1
ENSMUSG00000086188	Gm15169	1
ENSMUSG00000033981	Gria2	1
ENSMUSG00000021745	NA	1
ENSMUSG00000027189	Trim44	1
ENSMUSG00000046449	Nexmif	1
ENSMUSG00000103041	Gm37305	1
ENSMUSG00000025192	Entpd7	1
ENSMUSG00000057335	Cep170	1
ENSMUSG00000038170	Pde4dip	1
ENSMUSG00000042211	Fbxo38	1
ENSMUSG00000036943	Rab8b	1
ENSMUSG00000096926	NA	1
ENSMUSG00000044098	Rsbn1	1
ENSMUSG00000035901	Dennd5a	1
ENSMUSG00000045648	Vwc2l	1
ENSMUSG00000047648	Fbxo30	1
ENSMUSG00000043384	Gprasp1	1
ENSMUSG00000032193	Ldlr	1
ENSMUSG00000051223	Bzw1	1
ENSMUSG00000037316	Bag4	1
ENSMUSG00000027273	Snap25	1
ENSMUSG00000028096	Gpr89	1
ENSMUSG00000034342	Cbl	1
ENSMUSG00000005907	Pex1	1
ENSMUSG00000037608	Bclaf1	1
ENSMUSG00000056537	Rlim	1
ENSMUSG00000057706	Mex3b	1
ENSMUSG00000026110	Mgat4a	1
ENSMUSG00000035572	Dcaf10	1
ENSMUSG00000102440	Pcdhga9	1
ENSMUSG00000017291	Taok1	1
ENSMUSG00000026275	Ppp1r7	1
ENSMUSG00000048249	Crebrf	1
ENSMUSG00000058248	Kcnh1	1
ENSMUSG00000035431	Sstr1	1
ENSMUSG00000055540	Epha6	1
ENSMUSG00000033792	Atp7a	1
ENSMUSG00000052372	Il1rapl1	1
ENSMUSG00000020948	Klhl28	1
ENSMUSG00000024740	Ddb1	1
ENSMUSG00000027665	Pik3ca	1
ENSMUSG00000028246	Faxc	1
ENSMUSG00000031012	Cask	1
ENSMUSG00000039809	Gabbr2	1
ENSMUSG00000052557	Gan	1
ENSMUSG00000055373	Fut9	1
ENSMUSG00000060227	Golm2	1
ENSMUSG00000062519	Zfp398	1
ENSMUSG00000023977	Ubr2	1
ENSMUSG00000030683	Sez6l2	1
ENSMUSG00000035248	Tut7	1
ENSMUSG00000021987	Mtmr6	1
ENSMUSG00000034801	Sos2	1
ENSMUSG00000073563	Csnk1g3	1
ENSMUSG00000042590	Ipo11	1
ENSMUSG00000006494	Pdk1	1
ENSMUSG00000017167	Cntnap1	1
ENSMUSG00000103144	Pcdhga1	1
ENSMUSG00000040389	Wdr47	1
ENSMUSG00000025862	Stag2	1
ENSMUSG00000006262	Mob1b	1
ENSMUSG00000031200	Mtcp1	1
ENSMUSG00000047419	Cmya5	1
ENSMUSG00000015222	Map2	1
ENSMUSG00000116733	6330408M09Rik	1
ENSMUSG00000042506	Usp22	1
ENSMUSG00000024085	Man2a1	1
ENSMUSG00000041763	Tpp2	1
ENSMUSG00000058297	Spock2	1
ENSMUSG00000024054	Smchd1	1
ENSMUSG00000026834	Acvr1c	1
ENSMUSG00000032423	Syncrip	1
ENSMUSG00000026764	Kif5c	1
ENSMUSG00000043252	Tmem64	1
ENSMUSG00000108597	Gm44708	1
ENSMUSG00000082229	Nap1l2	1
ENSMUSG00000001924	Uba1	1
ENSMUSG00000103677	Pcdhga4	1
ENSMUSG00000027993	Trim2	1
ENSMUSG00000108616	Gm35040	1
ENSMUSG00000048960	Prex2	1
ENSMUSG00000031016	Wee1	1
ENSMUSG00000042323	Pbrm1	1
ENSMUSG00000042724	Map3k9	1
ENSMUSG00000025912	Mybl1	1
ENSMUSG00000032458	Copb2	1
ENSMUSG00000039068	Zzz3	1
ENSMUSG00000002718	Cse1l	1
ENSMUSG00000021700	Rab3c	1
ENSMUSG00000020917	Acly	1
ENSMUSG00000021217	Tshz3	1
ENSMUSG00000063626	Unc5d	1
ENSMUSG00000026675	Hsd17b7	1
ENSMUSG00000037487	Ubr5	1
ENSMUSG00000000838	Fmr1	1
ENSMUSG00000097893	1700034P13Rik	1
ENSMUSG00000047747	Rnf150	1
ENSMUSG00000038178	Slc43a2	1
ENSMUSG00000051401	Kctd16	1
ENSMUSG00000055447	Cd47	1
ENSMUSG00000003131	Pafah1b2	1
ENSMUSG00000039431	Mtmr7	1
ENSMUSG00000069729	Arid1b	1
ENSMUSG00000105742	Gm42748	1
ENSMUSG00000108832	Gm44832	1
ENSMUSG00000025234	Arih1	1
ENSMUSG00000008489	Elavl2	1
ENSMUSG00000031333	Abcb7	1
ENSMUSG00000040710	St8sia4	1
ENSMUSG00000017707	Serinc3	1
ENSMUSG00000058013	Septin11	1
ENSMUSG00000045095	Magi1	1
ENSMUSG00000048787	Dcun1d3	1
ENSMUSG00000051486	Pcdhb11	1
ENSMUSG00000090150	Acad11	1
ENSMUSG00000033910	Gucy1a1	1
ENSMUSG00000001542	Ell2	1
ENSMUSG00000022292	Rrm2b	1
ENSMUSG00000036712	Cyld	1
ENSMUSG00000095139	Pou3f2	1
ENSMUSG00000052920	Prkg1	1
ENSMUSG00000027763	Mbnl1	1
ENSMUSG00000047213	Ythdf3	1
ENSMUSG00000002265	Peg3	1
ENSMUSG00000020634	Ubxn2a	1
ENSMUSG00000021870	Slmap	1
ENSMUSG00000042302	Ehbp1	1
ENSMUSG00000052572	Dlg2	1
ENSMUSG00000027175	Tcp11l1	1
ENSMUSG00000024758	Rtn3	1
ENSMUSG00000036022	Pabir2	1
ENSMUSG00000095334	Gm21984	1
ENSMUSG00000024983	Vti1a	1
ENSMUSG00000029167	Ppargc1a	1
ENSMUSG00000054469	Lclat1	1
ENSMUSG00000045034	Ankrd34b	1
ENSMUSG00000116772	4930483P17Rik	1
ENSMUSG00000024044	Epb41l3	1
ENSMUSG00000061130	Ppm1b	1
ENSMUSG00000026709	Dars2	1
ENSMUSG00000048874	Phf3	1
ENSMUSG00000103945	Gm38228	1
ENSMUSG00000105556	Gm43080	1
ENSMUSG00000036273	Lrrk2	1
ENSMUSG00000039953	Clstn1	1
ENSMUSG00000021314	Amph	1
ENSMUSG00000041530	Ago1	1
ENSMUSG00000024515	Smad4	1
ENSMUSG00000051149	Adnp	1
ENSMUSG00000029212	Gabrb1	1
ENSMUSG00000069917	Hba-a2	1
ENSMUSG00000040249	Lrp1	1
ENSMUSG00000051674	Dcun1d4	1
ENSMUSG00000039470	Zdhhc2	1
ENSMUSG00000020273	Papolg	1
ENSMUSG00000030257	Srgap3	1
ENSMUSG00000052917	Senp7	1
ENSMUSG00000020659	Cbll1	1
ENSMUSG00000025571	Tnrc6c	1
ENSMUSG00000032119	Hinfp	1
ENSMUSG00000090053	Pakap	1
ENSMUSG00000022321	Cdh10	1
ENSMUSG00000020620	Abca8b	1
ENSMUSG00000020431	Adcy1	1
ENSMUSG00000055670	Zzef1	1
ENSMUSG00000038831	Ralgps1	1
ENSMUSG00000041439	Mfsd6	1
ENSMUSG00000021596	Mctp1	1
ENSMUSG00000027605	Acss2	1
ENSMUSG00000036197	Gxylt1	1
ENSMUSG00000004221	Ikbkg	1
ENSMUSG00000001150	Mcm3ap	1
ENSMUSG00000033676	Gabrb3	1
ENSMUSG00000038844	Kif16b	1
ENSMUSG00000042686	Jph1	1
ENSMUSG00000023169	Slc38a1	1
ENSMUSG00000032462	Pik3cb	1
ENSMUSG00000033799	Tasor2	1
ENSMUSG00000056755	Grm7	1
ENSMUSG00000034858	Atosa	1
ENSMUSG00000041341	Atg2b	1
ENSMUSG00000039952	Dag1	1
ENSMUSG00000051335	Gfod1	1
ENSMUSG00000098912	1500004A13Rik	1
ENSMUSG00000054280	Prr14l	1
ENSMUSG00000040209	Zfp704	1
ENSMUSG00000052726	Kcnt2	1
ENSMUSG00000021986	Amer2	1
ENSMUSG00000042410	Agps	1
ENSMUSG00000034300	Fam53c	1
ENSMUSG00000027854	Sike1	1
ENSMUSG00000062373	Tmem65	1
ENSMUSG00000064325	Hhip	1
ENSMUSG00000021710	Nln	1
ENSMUSG00000029106	Add1	1
ENSMUSG00000064177	Ghrl	1
ENSMUSG00000073062	Zxdb	1
ENSMUSG00000078117	Gm16485	1
ENSMUSG00000022867	Usp25	1
ENSMUSG00000047921	Trappc9	1
ENSMUSG00000042520	Ubap2l	1
ENSMUSG00000049606	Zfp644	1
ENSMUSG00000047842	Diras2	1
ENSMUSG00000041133	Smc1a	1
ENSMUSG00000049800	Sertad2	1
ENSMUSG00000019796	Lrp11	1
ENSMUSG00000022883	Robo1	1
ENSMUSG00000026867	Gapvd1	1
ENSMUSG00000021669	Cert1	1
ENSMUSG00000091243	Vgll3	1
ENSMUSG00000029765	Plxna4	1
ENSMUSG00000078517	Emc1	1
ENSMUSG00000091387	Gcnt4	1
ENSMUSG00000039116	Adgrg6	1
ENSMUSG00000021549	Rasa1	1
ENSMUSG00000037236	Matr3	1
ENSMUSG00000051615	Rap2a	1
ENSMUSG00000104063	Pcdhgb7	1
ENSMUSG00000029016	Clcn6	1
ENSMUSG00000090211	Gm16050	1
ENSMUSG00000014496	Ankrd28	1
ENSMUSG00000046709	Mapk10	1
ENSMUSG00000020220	Vps13d	1
ENSMUSG00000024502	Jakmip2	1
ENSMUSG00000020594	Pum2	1
ENSMUSG00000004768	Rab23	1
ENSMUSG00000073664	Nbeal1	1
ENSMUSG00000032116	Stt3a	1
ENSMUSG00000026434	Nucks1	1
ENSMUSG00000034560	Washc4	1
ENSMUSG00000034723	Tmx4	1
ENSMUSG00000115238	Gm19236	1
ENSMUSG00000000416	Cttnbp2	1
ENSMUSG00000047248	C2cd3	1
ENSMUSG00000025626	Phf6	1
ENSMUSG00000112925	Gm31763	1
ENSMUSG00000041891	Lman1	1
ENSMUSG00000045441	Gprin3	1
ENSMUSG00000035133	Arhgap5	1
ENSMUSG00000105918	NA	1
ENSMUSG00000029094	Afap1	1
ENSMUSG00000074925	Ptar1	1
ENSMUSG00000034648	Lrrn1	1
ENSMUSG00000063801	Ap3s2	1
ENSMUSG00000111345	Gm48562	1
ENSMUSG00000008730	Hipk1	1
ENSMUSG00000028696	Ipp	1
ENSMUSG00000026718	Stam	1
ENSMUSG00000024077	Strn	1
ENSMUSG00000097020	NA	1
ENSMUSG00000048661	Lemd3	1
ENSMUSG00000019861	Gopc	1
ENSMUSG00000024293	Esco1	1
ENSMUSG00000021113	Snapc1	1
ENSMUSG00000073940	Hbb-bt	1
ENSMUSG00000041313	Slc7a1	1
ENSMUSG00000114797	Gm49336	1
ENSMUSG00000037343	Taf2	1
ENSMUSG00000021510	Zfp729a	1
ENSMUSG00000047710	Champ1	1
ENSMUSG00000014550	Rbsn	1
ENSMUSG00000097431	Gm26782	1
ENSMUSG00000063358	Mapk1	1
ENSMUSG00000041298	Katnal1	1
ENSMUSG00000043259	Fam13c	1
ENSMUSG00000040761	Spen	1
ENSMUSG00000048004	Tmem196	1
ENSMUSG00000026121	Sema4c	1
ENSMUSG00000071793	2610005L07Rik	1
ENSMUSG00000024921	Smarca2	1
ENSMUSG00000019951	Bltp3b	1
ENSMUSG00000054823	Nsd3	1
ENSMUSG00000112964	E430024I08Rik	1
ENSMUSG00000015733	Capza2	1
ENSMUSG00000025060	Slk	1
ENSMUSG00000041781	Cpsf2	1
ENSMUSG00000062014	Gmfb	1
ENSMUSG00000026771	Spopl	1
ENSMUSG00000056771	Gm10010	1
ENSMUSG00000074194	Zfp791	1
ENSMUSG00000019846	Lama4	1
ENSMUSG00000026116	Tmem131	1
ENSMUSG00000027708	Dcun1d1	1
ENSMUSG00000034848	Ttc21b	1
ENSMUSG00000049624	Slc17a5	1
ENSMUSG00000101360	4933417O13Rik	1
ENSMUSG00000110580	D830024N08Rik	1
ENSMUSG00000044365	Cxxc4	1
ENSMUSG00000063887	Nlgn1	1
ENSMUSG00000040151	Hs2st1	1
ENSMUSG00000028577	Plaa	1
ENSMUSG00000029245	Epha5	1
ENSMUSG00000037541	Shank2	1
ENSMUSG00000028883	Sema3a	1
ENSMUSG00000034160	Ogt	1
ENSMUSG00000044149	Nkrf	1
ENSMUSG00000058298	Mcm9	1
ENSMUSG00000097536	2610037D02Rik	1
ENSMUSG00000029190	D5Ertd579e	1
ENSMUSG00000066415	Msl2	1
ENSMUSG00000107877	4933427D14Rik	1
ENSMUSG00000032727	Mier3	1
ENSMUSG00000031993	Snx19	1
ENSMUSG00000055371	Stam2	1
ENSMUSG00000053774	Ubxn7	1
ENSMUSG00000093930	Hmgcs1	1
ENSMUSG00000023033	Scn8a	1
ENSMUSG00000036707	Cab39	1
ENSMUSG00000037855	Zfp365	1
ENSMUSG00000043301	Kcnj6	1
ENSMUSG00000016481	Cr1l	1
ENSMUSG00000005533	Igf1r	1
ENSMUSG00000000561	Wdr77	1
ENSMUSG00000005374	Tbl2	1
ENSMUSG00000048271	Rbm33	1
ENSMUSG00000085133	B930095G15Rik	1
ENSMUSG00000029651	Mtus2	1
ENSMUSG00000021244	Ylpm1	1
ENSMUSG00000021279	Cdc42bpb	1
ENSMUSG00000047773	Ankfn1	1
ENSMUSG00000026782	Abi2	1
ENSMUSG00000007812	Zfp655	1
ENSMUSG00000025583	Rptor	1
ENSMUSG00000026131	Dst	1
ENSMUSG00000055480	Zfp458	1
ENSMUSG00000031696	Vps35	1
ENSMUSG00000031517	Gpm6a	1
ENSMUSG00000051675	Trim32	1
ENSMUSG00000070336	Fbxo47	1
ENSMUSG00000026469	Xpr1	1
ENSMUSG00000022094	Slc39a14	1
ENSMUSG00000027425	Kat14	1
ENSMUSG00000071659	Hnrnpul2	1
ENSMUSG00000033569	Adgrb3	1
ENSMUSG00000030411	Nova2	1
ENSMUSG00000022231	Sema5a	1
ENSMUSG00000053414	Hunk	1
ENSMUSG00000027200	Sema6d	1
ENSMUSG00000029064	Gnb1	1
ENSMUSG00000106944	Gm43843	1
ENSMUSG00000035232	Pdk3	1
ENSMUSG00000039145	Camk1d	1
ENSMUSG00000019891	Dcbld1	1
ENSMUSG00000068479	Mfap1a	1
ENSMUSG00000042680	Garem1	1
ENSMUSG00000086502	B130055M24Rik	1
ENSMUSG00000032261	Sh3bgrl2	1
ENSMUSG00000048834	Vstm2a	1
ENSMUSG00000060671	Atp8b2	1
ENSMUSG00000058153	Sez6l	1
ENSMUSG00000021180	Rps6ka5	1
ENSMUSG00000035653	Lrfn5	1
ENSMUSG00000024491	Rbm27	1
ENSMUSG00000001089	Luzp1	1
ENSMUSG00000024754	Cemip2	1
ENSMUSG00000021275	Tecpr2	1
ENSMUSG00000032571	Pik3r4	1
ENSMUSG00000042029	Ncapg2	1
ENSMUSG00000021188	Trip11	1
ENSMUSG00000019907	Ppp1r12a	1
ENSMUSG00000022306	Zfpm2	1
ENSMUSG00000042595	Fam199x	1
ENSMUSG00000097904	NA	1
ENSMUSG00000021061	Sptb	1
ENSMUSG00000027660	Skil	1
ENSMUSG00000045238	A730035I17Rik	1
ENSMUSG00000070565	Rasal2	1
ENSMUSG00000003452	Bicd1	1
ENSMUSG00000028399	Ptprd	1
ENSMUSG00000023919	Cenpq	1
ENSMUSG00000040118	Cacna2d1	1
ENSMUSG00000049583	Grm5	1
ENSMUSG00000037260	Hgsnat	1
ENSMUSG00000028552	Eps15	1
ENSMUSG00000104369	Gm38082	1
ENSMUSG00000027086	Fastkd1	1
ENSMUSG00000024759	Atl3	1
ENSMUSG00000030350	Prmt8	1
ENSMUSG00000041977	Arhgef11	1
ENSMUSG00000031561	Tenm3	1
ENSMUSG00000062190	Lancl2	1
ENSMUSG00000103313	Gm38357	1
ENSMUSG00000104868	Gm9954	1
ENSMUSG00000070420	Zscan25	1
ENSMUSG00000078877	Gm14295	1
ENSMUSG00000002428	Hltf	1
ENSMUSG00000028300	C9orf72	1
ENSMUSG00000106515	Gm30382	1
ENSMUSG00000097287	D130017N08Rik	1
ENSMUSG00000113184	Gm49654	1
ENSMUSG00000030554	Synm	1
ENSMUSG00000041935	Rimoc1	1
ENSMUSG00000027162	Lin7c	1
ENSMUSG00000038533	Cbfa2t2	1
ENSMUSG00000034071	Zfp551	1
ENSMUSG00000042453	Reln	1
ENSMUSG00000048047	Zbtb33	1
ENSMUSG00000003731	Kpna6	1
ENSMUSG00000049658	Bdp1	1
ENSMUSG00000044288	Cnr1	1
ENSMUSG00000041258	Zfp236	1
ENSMUSG00000041415	Dicer1	1
ENSMUSG00000005338	Cadm3	1
ENSMUSG00000057181	5730455P16Rik	1
ENSMUSG00000033623	Pcgf3	1
ENSMUSG00000018547	Pip4k2b	1
ENSMUSG00000030102	Itpr1	1
ENSMUSG00000034602	Mon2	1
ENSMUSG00000013663	Pten	1
ENSMUSG00000028033	Kcnq5	1
ENSMUSG00000091849	Gm17188	1
ENSMUSG00000004356	Utp20	1
ENSMUSG00000024350	Dnajc18	1
ENSMUSG00000051375	Pcdh1	1
ENSMUSG00000034973	Dop1a	1
ENSMUSG00000071862	Lrrtm2	1
ENSMUSG00000019850	Tnfaip3	1
ENSMUSG00000035770	Dync1li2	1
ENSMUSG00000039086	Ss18l1	1
ENSMUSG00000033400	Agl	1
ENSMUSG00000026915	Strbp	1
ENSMUSG00000020081	Tacr2	1
ENSMUSG00000094483	Purb	1
ENSMUSG00000022855	Senp2	1
ENSMUSG00000008226	Scrn3	1
ENSMUSG00000009575	Cbx5	1
ENSMUSG00000016534	Lamp2	1
ENSMUSG00000021708	Rasgrf2	1
ENSMUSG00000003382	Etv3	1
ENSMUSG00000035476	Tab3	1
ENSMUSG00000042207	Kdm5b	1
ENSMUSG00000061273	Mmgt1	1
ENSMUSG00000020064	Herc4	1
ENSMUSG00000042155	Klhl23	1
ENSMUSG00000019966	Kitl	1
ENSMUSG00000019726	Lyst	1
ENSMUSG00000033009	Ogfod1	1
ENSMUSG00000022119	Rbm26	1
ENSMUSG00000050321	Neto1	1
ENSMUSG00000030201	Lrp6	1
ENSMUSG00000033382	Trappc8	1
ENSMUSG00000035325	Sec31a	1
ENSMUSG00000037104	Socs5	1
ENSMUSG00000055485	Mtcl2	1
ENSMUSG00000104154	Gm38104	1
ENSMUSG00000020387	Jade2	1
ENSMUSG00000031393	Mecp2	1
ENSMUSG00000104877	Gm42651	1
ENSMUSG00000034940	Synrg	1
ENSMUSG00000052504	Epha3	1
ENSMUSG00000027598	Itch	1
ENSMUSG00000027787	Nmd3	1
ENSMUSG00000028080	Lrba	1
ENSMUSG00000047193	Dync2h1	1
ENSMUSG00000104969	Gm43445	1
ENSMUSG00000103092	Pcdha5	1
ENSMUSG00000001440	Kpnb1	1
ENSMUSG00000020671	Rab10	1
ENSMUSG00000028556	Dock7	1
ENSMUSG00000044864	Ankrd50	1
ENSMUSG00000096910	Zfp955b	1
ENSMUSG00000022350	Washc5	1
ENSMUSG00000024095	Hnrnpll	1
ENSMUSG00000027589	Pcmtd2	1
ENSMUSG00000028312	Smc2	1
ENSMUSG00000028830	AU040320	1
ENSMUSG00000114253	Gm47798	1
ENSMUSG00000004317	Clcn5	1
ENSMUSG00000051396	Msantd7	1
ENSMUSG00000108321	Gm44649	1
ENSMUSG00000022788	Fgd4	1
ENSMUSG00000056258	Kcnq3	1
ENSMUSG00000036257	Pnpla8	1
ENSMUSG00000009112	Bcl2l13	1
ENSMUSG00000014498	Ankrd52	1
ENSMUSG00000033396	Spg11	1
ENSMUSG00000042345	Ubash3a	1
ENSMUSG00000025321	Itgb8	1
ENSMUSG00000027674	Pex5l	1
ENSMUSG00000008658	Rbfox1	1
ENSMUSG00000039126	Prune2	1
ENSMUSG00000057894	Zfp329	1
ENSMUSG00000095362	Gm14325	1
ENSMUSG00000024151	Msh2	1
ENSMUSG00000024639	Gnaq	1
ENSMUSG00000068284	Usf3	1
ENSMUSG00000020990	Cdkl1	1
ENSMUSG00000034656	Cacna1a	1
ENSMUSG00000027419	Pcsk2	1
ENSMUSG00000035173	Ccdc186	1
ENSMUSG00000021219	Rgs6	1
ENSMUSG00000028780	Sema3c	1
ENSMUSG00000066640	Fbxl18	1
ENSMUSG00000054263	Lifr	1
ENSMUSG00000020152	Actr2	1
ENSMUSG00000041245	Wnk3	1
ENSMUSG00000035898	Uba6	1
ENSMUSG00000057614	Gnai1	1
ENSMUSG00000014956	Ppp1cb	1
ENSMUSG00000001157	Gmcl1	1
ENSMUSG00000020612	Prkar1a	1
ENSMUSG00000022752	Tomm70a	1
ENSMUSG00000030020	Prickle2	1
ENSMUSG00000021189	Atxn3	1
ENSMUSG00000021704	Mtx3	1
ENSMUSG00000028226	Mmp16	1
ENSMUSG00000025609	Mkln1	1
ENSMUSG00000035509	Fbxl21	1
ENSMUSG00000029684	Wasl	1
ENSMUSG00000040003	Magi2	1
ENSMUSG00000015342	Xk	1
ENSMUSG00000066704	Cyp2b19	1
ENSMUSG00000031583	Wrn	1
ENSMUSG00000048347	Pcdhb18	1
ENSMUSG00000116226	Gm49502	1
ENSMUSG00000042129	Rassf4	1
ENSMUSG00000111094	Gm34425	1
ENSMUSG00000026610	Esrrg	1
ENSMUSG00000049804	Armcx4	1
ENSMUSG00000034755	Pcdh11x	1
ENSMUSG00000019849	Prep	1
ENSMUSG00000043415	Otud1	1
ENSMUSG00000117118	Gm49878	1
ENSMUSG00000050890	Pdik1l	1
ENSMUSG00000026663	Atf6	1
ENSMUSG00000050587	Lrrc4c	1
ENSMUSG00000050627	Gpd1l	1
ENSMUSG00000021112	Pals1	1
ENSMUSG00000024976	Shoc2	1
ENSMUSG00000063260	Syt10	1
ENSMUSG00000005583	Mef2c	1
ENSMUSG00000022314	Rad21	1
ENSMUSG00000050148	Ubqln2	1
